Source;Target;Weight;Label;Type
30;22;0.6831320524215698;30 to 22;Undirected
30;32;0.6095415353775024;30 to 32;Undirected
30;39;0.5040442943572998;30 to 39;Undirected
30;43;0.5101214647293091;30 to 43;Undirected
30;44;0.5089896321296692;30 to 44;Undirected
30;47;0.5530259609222412;30 to 47;Undirected
30;49;0.6092488765716553;30 to 49;Undirected
30;53;0.6430214643478394;30 to 53;Undirected
30;61;0.5641786456108093;30 to 61;Undirected
30;72;0.5909489393234253;30 to 72;Undirected
30;80;0.5539047122001648;30 to 80;Undirected
30;83;0.5400018692016602;30 to 83;Undirected
30;86;0.5657303333282471;30 to 86;Undirected
30;92;0.8528060913085938;30 to 92;Undirected
30;99;0.5444841980934143;30 to 99;Undirected
30;104;0.5290111899375916;30 to 104;Undirected
30;111;0.6367690563201904;30 to 111;Undirected
30;114;0.6691948175430298;30 to 114;Undirected
30;119;0.5997689366340637;30 to 119;Undirected
30;121;0.7078445553779602;30 to 121;Undirected
30;123;0.6327660083770752;30 to 123;Undirected
30;129;0.5894792675971985;30 to 129;Undirected
30;130;0.6743431091308594;30 to 130;Undirected
30;131;0.6967566609382629;30 to 131;Undirected
30;133;0.6027995944023132;30 to 133;Undirected
